-1780,632,740
-1728,487,648
-1676,624,558
-1672,-441,1574
-1665,507,1940
-1653,582,1860
-1573,602,1966
-1526,-756,419
-1497,-492,1599
-1488,-784,390
-1454,-486,1541
-1386,-802,453
-1077,171,1243
-1015,6,1163
-892,524,684
-876,649,763
-838,591,734
-789,900,-551
-739,-1745,668
-706,-3180,-659
-697,-3072,-689
-689,845,-530
-687,-1600,576
-661,-816,-575
-654,-3158,-753
-635,-1737,486
-633,702,875
-620,-3212,371
-618,-824,-621
-618,-412,506
-609,896,922
-601,-1648,-643
-585,-573,1941
-584,868,-557
-582,-406,473
-576,-418,2060
-545,471,1972
-537,-823,-458
-518,-1681,-600
-514,-589,2005
-513,-470,481
-507,799,840
-499,-1607,-770
-485,-357,347
-470,-3283,303
-447,-329,318
-436,552,2024
-430,-3130,366
-429,480,1965
-414,549,260
-362,404,352
-345,-311,381
-310,541,442
-306,-524,-574
-299,424,-940
-287,499,-860
-207,519,-966
-160,-839,581
-131,-575,-599
-122,-867,610
-88,-569,-541
-27,-1108,-65
-20,-885,547
7,-33,-71
12,-2351,-103
289,88,-243
346,-2985,342
351,-77,-163
366,-3059,397
377,-2827,367
390,-675,-793
396,-1931,-563
404,-588,-901
408,-1815,803
423,-701,434
432,-2009,850
443,580,662
455,729,728
456,-540,1869
459,-707,401
465,-695,1988
474,580,667
496,-1584,1900
497,-1838,-617
527,-524,1933
528,-643,409
534,-1912,768
544,-627,-890
553,345,-567
564,392,-477
568,-2007,-577
605,-1665,1952
612,-1593,1893
630,319,-379
686,-3108,-505
733,619,125
748,-495,494
757,813,78
776,-3184,-501
781,-656,-941
784,-489,527
790,-501,-1060
821,388,-972
846,-3110,-434
852,-672,-1005
853,-553,519
859,716,160
930,469,-1024
937,397,-965
1135,-1161,1235
1243,-1093,1063
1660,-552,429
1693,-557,386
1735,-437,1738
1749,-1800,1813
1772,-405,1572
1776,-675,371
1779,-442,1789
1780,-1548,337
1786,-1538,337
1847,-1591,415
1889,-1729,1762
1994,-1805,1792
